Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2016/10/13,SPY,212.160004,213.589996,211.210007,213.009995,207.72345,101357000
2016/10/14,SPY,214.149994,214.690002,213.029999,213.119995,207.830719,93346200
2016/10/17,SPY,213.089996,213.389999,212.169998,212.380005,207.109116,58275700
2016/10/18,SPY,214.240005,214.309998,213.270004,213.710007,208.406097,74250300
2016/10/19,SPY,214.020004,214.639999,213.600006,214.279999,208.961945,66519200
2016/10/20,SPY,213.869995,214.529999,213.110001,213.880005,208.571884,73639800
2016/10/21,SPY,213.880005,214.080002,212.759995,213.979996,208.669373,89089100
2016/10/24,SPY,215,215.320007,214.479996,214.889999,209.556824,60146600
2016/10/25,SPY,214.679993,214.979996,213.979996,214.169998,208.85466,66542300
2016/10/26,SPY,213.210007,214.419998,212.929993,213.740005,208.435333,75705500
2016/10/27,SPY,214.580002,214.619995,213.080002,213.169998,207.879486,77220200
2016/10/28,SPY,213.139999,213.929993,211.710007,212.539993,207.265106,140623200
2016/10/31,SPY,212.929993,213.190002,212.360001,212.550003,207.274872,61272500
2016/11/1,SPY,212.929993,212.990005,209.600006,211.009995,205.773087,122781800
2016/11/2,SPY,210.649994,211.100006,209.229996,209.740005,204.534607,103330800
2016/11/3,SPY,209.990005,210.240005,208.460007,208.779999,203.598434,88939300
2016/11/4,SPY,208.910004,209.889999,208.380005,208.550003,203.374146,109122100
2016/11/7,SPY,208.550003,213.190002,208.550003,213.149994,207.85997,109794900
2016/11/8,SPY,212.690002,214.770004,212.380005,214.110001,208.796143,102268300
2016/11/9,SPY,212.369995,217.100006,212.339996,216.380005,211.009827,258429000
2016/11/10,SPY,217.300003,218.309998,215.220001,216.919998,211.536407,172113300
2016/11/11,SPY,216.080002,216.699997,215.320007,216.419998,211.048828,100552700
2016/11/14,SPY,217.029999,217.270004,215.720001,216.589996,211.2146,91861000
2016/11/15,SPY,217.039993,218.279999,216.800003,218.279999,212.862656,91652600
2016/11/16,SPY,217.559998,218.139999,217.419998,217.869995,212.46283,64761400
2016/11/17,SPY,218.050003,219.059998,217.919998,218.990005,213.555038,69797200
2016/11/18,SPY,219.070007,219.270004,218.289993,218.5,213.077194,86265800
2016/11/21,SPY,219.169998,220.179993,219,220.149994,214.686249,72402600
2016/11/22,SPY,220.509995,220.789993,219.729996,220.580002,215.105591,67429000
2016/11/23,SPY,219.979996,220.759995,219.75,220.699997,215.222595,54690100
2016/11/25,SPY,221.100006,221.559998,221.009995,221.520004,216.022247,37872300
2016/11/28,SPY,221.160004,221.479996,220.360001,220.479996,215.008072,76572500
2016/11/29,SPY,220.520004,221.440002,220.169998,220.910004,215.427383,69886700
2016/11/30,SPY,221.630005,221.820007,220.309998,220.380005,214.910522,113291800
2016/12/1,SPY,220.729996,220.729996,219.149994,219.570007,214.120667,79040500
2016/12/2,SPY,219.669998,220.25,219.259995,219.679993,214.227921,74840300
2016/12/5,SPY,220.649994,221.399994,220.419998,221,215.515152,67837800
2016/12/6,SPY,221.220001,221.740005,220.660004,221.699997,216.1978,59877400
2016/12/7,SPY,221.520004,224.669998,221.380005,224.600006,219.025818,110738100
2016/12/8,SPY,224.570007,225.699997,224.259995,225.149994,219.562164,99714400
2016/12/9,SPY,225.410004,226.529999,225.369995,226.509995,220.888397,88005800
2016/12/12,SPY,226.399994,226.960007,225.759995,226.25,220.634857,102016100
2016/12/13,SPY,227.020004,228.339996,227,227.759995,222.107361,110477500
2016/12/14,SPY,227.410004,228.229996,225.369995,225.880005,220.274048,142501800
2016/12/15,SPY,226.160004,227.809998,225.889999,226.809998,221.180969,124972600
2016/12/16,SPY,226.009995,226.080002,224.669998,225.039993,220.748383,144174300
2016/12/19,SPY,225.25,226.020004,225.080002,225.529999,221.229034,90341100
2016/12/20,SPY,226.149994,226.570007,225.880005,226.399994,222.082443,89838800
2016/12/21,SPY,226.25,226.449997,225.770004,225.770004,221.464462,67909000
2016/12/22,SPY,225.600006,225.740005,224.919998,225.380005,221.081894,56219100
2016/12/23,SPY,225.429993,225.720001,225.210007,225.710007,221.405594,36251400
2016/12/27,SPY,226.020004,226.729996,226,226.270004,221.954926,42672500
2016/12/28,SPY,226.570007,226.589996,224.270004,224.399994,220.12056,64095000
2016/12/29,SPY,224.479996,224.889999,223.839996,224.350006,220.071533,47719500
2016/12/30,SPY,224.729996,224.830002,222.729996,223.529999,219.267166,108998300
2017/1/3,SPY,225.039993,225.830002,223.880005,225.240005,220.944565,91366500
2017/1/4,SPY,225.619995,226.75,225.610001,226.580002,222.259018,78744400
2017/1/5,SPY,226.270004,226.580002,225.479996,226.399994,222.082443,78379000
2017/1/6,SPY,226.529999,227.75,225.899994,227.210007,222.876999,71559900
2017/1/9,SPY,226.910004,227.070007,226.419998,226.460007,222.141312,46265300
2017/1/10,SPY,226.479996,227.449997,226.009995,226.460007,222.141312,63771900
2017/1/11,SPY,226.360001,227.100006,225.589996,227.100006,222.769089,74650000
2017/1/12,SPY,226.5,226.75,224.960007,226.529999,222.209961,72113200
2017/1/13,SPY,226.729996,227.399994,226.690002,227.050003,222.720047,62717900
2017/1/17,SPY,226.309998,226.779999,225.800003,226.25,221.935287,59261200
2017/1/18,SPY,226.539993,226.800003,225.899994,226.75,222.425766,54793300
2017/1/19,SPY,226.839996,227,225.410004,225.910004,221.601791,66608800
2017/1/20,SPY,226.699997,227.309998,225.970001,226.740005,222.415955,129168600
2017/1/23,SPY,226.740005,226.809998,225.270004,226.149994,221.837204,75061600
2017/1/24,SPY,226.399994,228.080002,226.270004,227.600006,223.259552,95555300
